Indicator type	Indicator	Description
domain	300gsyn.it	
URL	http://129.226.180.53/xmrig_setup/raw/master/setup_c3pool_miner.sh	
CVE	CVE-2021-44228	
FileHash-MD5	1e051111c4cf327775dc3bab4df4bf85	
FileHash-MD5	29851d65fe14699a793bf401cb84c019	
FileHash-MD5	2f5769c38b6e5f4c59b7d831ed612395	
FileHash-MD5	36796319567f5a05571006b874903e87	
FileHash-MD5	5ac6ded41f9a61cd9d026e91af47b695	
FileHash-MD5	5b30284b34dcc1912326812c7d2ea723	
FileHash-MD5	64808f03e967d15a7907c41fa0d34e89	
FileHash-MD5	720a3a92e72054dc8d58e229c22bb892	
FileHash-MD5	75bc0d4022b20fae1f5610109691184e	
FileHash-MD5	84c2ccc2f2a4d4fe71249bad63252f32	
FileHash-MD5	933568969efe6b3f8c0621200f0eea5a	
FileHash-MD5	bf6935865f63c32c0530a61da9b85d53	
FileHash-MD5	ded558217c327d8f5c3f8b36118380ab	
FileHash-MD5	eb71a394bcf3e8f83198d51f3f6d7422	
FileHash-MD5	f6e51ea341570c6e9e4c97aee082822b	
FileHash-SHA1	07a3fb97c339a186f79c33d4de32997b2ad735d4	SHA1 of 720a3a92e72054dc8d58e229c22bb892
FileHash-SHA1	7758f16acf29c00c396fa5e8f03856155c89784e	SHA1 of 1e051111c4cf327775dc3bab4df4bf85
FileHash-SHA1	81fa73c178fc65c09085fa1731aee8bcedf80819	SHA1 of 2f5769c38b6e5f4c59b7d831ed612395
FileHash-SHA1	9147d834f4cb7047a6e6ab96565868c6fede373e	SHA1 of f6e51ea341570c6e9e4c97aee082822b
FileHash-SHA1	ef6dca7ceda1b5d162dab3fea028f44abca98583	SHA1 of 64808f03e967d15a7907c41fa0d34e89
FileHash-SHA256	0f5cb7f8c43d3ebf71d7e22a2ac2fb94d0457ffea870daa2c402508caa39aca8	SHA256 of 1e051111c4cf327775dc3bab4df4bf85
FileHash-SHA256	3e6567dab5e7c7c42a02ac47e8c68f61c9c481bbbbe5ddb1c68e86f7370dab45	SHA256 of 2f5769c38b6e5f4c59b7d831ed612395
